City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Georgetown,MY,5.4112,100.3354,80.89,88,20,7.0,light rain
105,Atar,MR,20.5169,-13.0499,86.47,8,63,20.38,broken clouds
106,Baruun-Urt,MN,46.6806,113.2792,-5.26,99,81,3.76,broken clouds
107,Gorele,TR,41.0308,39.0031,42.24,88,96,4.72,overcast clouds
108,Amos,CA,48.5669,-78.1162,26.87,89,100,9.91,light snow
109,Khani,GE,41.9563,42.9566,33.37,98,100,2.26,light snow
110,Lushoto,TZ,-4.7833,38.2833,64.89,68,95,3.65,overcast clouds
111,Egvekinot,RU,66.3167,-179.1667,-27.11,90,18,4.83,few clouds
112,Aden,YE,12.7794,45.0367,76.71,64,8,15.3,clear sky
113,Seoul,KR,37.5683,126.9778,29.64,90,0,1.14,mist
114,Palasbari,IN,26.1361,91.5486,59.05,100,75,0.0,mist
115,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,83,100,5.75,mist
116,Makakilo City,US,21.3469,-158.0858,70.29,78,0,4.61,clear sky
117,Dorado,PR,18.4588,-66.2677,84.74,68,6,14.52,clear sky
118,Chokurdakh,RU,70.6333,147.9167,-25.31,95,87,9.1,overcast clouds
119,Kaseda,JP,31.4167,130.3167,43.84,70,15,10.76,few clouds
120,Saskylakh,RU,71.9167,114.0833,4.1,94,100,13.78,light snow
121,Goya,AR,-29.14,-59.2626,99.7,13,0,4.21,clear sky
122,Vardo,NO,70.3705,31.1107,26.8,80,75,6.91,broken clouds
123,Roma,US,43.2128,-75.4557,41.72,87,100,6.91,overcast clouds
124,Taoudenni,ML,22.6783,-3.9836,76.51,12,20,17.47,few clouds
125,Rockhampton,AU,-23.3833,150.5,71.49,78,0,3.44,clear sky
126,Geraldton,AU,-28.7667,114.6,68.41,88,0,6.91,light rain
127,Tessalit,ML,20.1986,1.0114,80.47,6,0,9.55,clear sky
128,Atambua,ID,-9.1061,124.8925,71.65,92,100,0.38,light rain
129,Zhigansk,RU,66.7697,123.3711,-29.29,97,91,10.63,overcast clouds
130,Caborca,MX,30.5838,-111.101,66.25,15,1,5.44,clear sky
131,Provideniya,RU,64.3833,-173.3,-19.68,92,43,3.6,scattered clouds
132,Lubbock,US,33.6001,-101.8338,54.37,32,40,16.11,scattered clouds
133,East London,ZA,-33.0153,27.9116,76.14,78,0,4.61,clear sky
134,Hasaki,JP,35.7333,140.8333,34.2,83,100,30.65,overcast clouds
135,New Norfolk,AU,-42.7826,147.0587,60.3,61,71,2.53,broken clouds
136,Caxito,AO,-8.5785,13.6643,88.45,62,76,10.11,broken clouds
137,Prieska,ZA,-29.6641,22.7474,88.48,17,0,12.82,clear sky
138,Pochutla,MX,15.7432,-96.4661,84.81,44,12,6.06,few clouds
139,Rocha,UY,-34.4833,-54.3333,83.43,37,0,11.07,clear sky
140,Tilichiki,RU,60.4667,166.1,-15.21,78,12,7.29,few clouds
141,Maniitsoq,GL,65.4167,-52.9,13.08,92,100,7.05,light snow
142,Cuamba,MZ,-14.8031,36.5372,71.15,93,100,1.72,light rain
143,Sal Rei,CV,16.1833,-22.9167,82.6,32,0,17.27,clear sky
144,Ardesen,TR,41.1911,40.9875,40.96,80,100,4.54,light rain
145,Pisco,PE,-13.7,-76.2167,77.02,69,0,9.22,clear sky
146,Mao,ES,39.8885,4.2658,55.96,76,75,3.44,broken clouds
147,Okitipupa,NG,6.5047,4.7839,88.14,55,9,8.63,clear sky
148,Byron Bay,AU,-28.65,153.6167,69.87,83,2,8.19,clear sky
149,Dandong,CN,40.1292,124.3947,28.06,81,2,2.71,clear sky
150,Kahului,US,20.8947,-156.47,71.83,78,0,3.0,clear sky
151,Salalah,OM,17.0151,54.0924,75.29,60,0,3.44,clear sky
152,Sakakah,SA,29.9697,40.2064,56.77,32,0,6.24,clear sky
153,Impfondo,CG,1.6381,18.0667,87.42,20,42,2.3,scattered clouds
154,Kemijarvi,FI,66.7131,27.4306,24.39,96,100,5.7,overcast clouds
155,Carnarvon,AU,-24.8667,113.6333,78.87,78,41,8.05,scattered clouds
156,Matay,EG,28.419,30.7792,58.26,41,87,12.24,overcast clouds
157,Key West,US,24.5557,-81.7826,70.0,60,0,16.11,clear sky
158,Kirakira,SB,-10.4544,161.9205,78.46,85,95,6.76,overcast clouds
159,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,93.13,48,91,0.58,overcast clouds
160,Jamestown,US,42.097,-79.2353,38.08,58,100,18.41,overcast clouds
161,Alofi,NU,-19.0595,-169.9187,75.09,100,75,4.61,broken clouds
162,Faanui,PF,-16.4833,-151.75,80.98,74,87,11.27,overcast clouds
163,Neuquen,AR,-38.9516,-68.0591,75.09,25,0,9.22,clear sky
164,Maragogi,BR,-9.0122,-35.2225,85.93,52,28,14.36,scattered clouds
165,Sembakung,ID,3.8167,117.25,73.99,98,100,0.49,heavy intensity rain
166,Lata,PT,40.1629,-8.3327,65.71,49,99,4.03,overcast clouds
167,Tiksi,RU,71.6872,128.8694,-11.81,93,100,15.41,overcast clouds
168,Balikpapan,ID,-1.2675,116.8289,77.99,94,40,1.52,scattered clouds
169,Teguldet,RU,57.3064,88.1667,-15.57,100,27,2.26,scattered clouds
170,Yerbogachen,RU,61.2767,108.0108,-18.42,100,91,3.36,overcast clouds
171,Nanortalik,GL,60.1432,-45.2371,26.58,57,77,8.21,broken clouds
172,Cherskiy,RU,68.75,161.3,-37.84,100,100,5.91,overcast clouds
173,La Romana,DO,18.4273,-68.9728,84.56,70,40,11.5,scattered clouds
174,Glendive,US,47.1053,-104.7125,51.49,57,0,24.16,clear sky
175,Tucuman,AR,-26.8241,-65.2226,86.0,54,20,3.44,few clouds
176,Rudbar,AF,30.15,62.6,60.31,16,0,11.36,clear sky
177,Vytegra,RU,61.0064,36.4481,25.86,94,49,8.57,scattered clouds
178,Chukhloma,RU,58.7525,42.6825,24.51,95,100,7.36,snow
179,Agaro,ET,7.85,36.65,65.52,62,72,1.83,broken clouds
180,Batemans Bay,AU,-35.7167,150.1833,68.09,92,95,7.45,overcast clouds
181,Srednekolymsk,RU,67.45,153.6833,-39.32,99,75,5.73,broken clouds
182,Monte Patria,CL,-30.6919,-70.9467,70.0,70,86,6.13,overcast clouds
183,Chapeco,BR,-27.0964,-52.6183,87.13,45,75,6.91,broken clouds
184,Cap Malheureux,MU,-19.9842,57.6142,79.29,74,26,6.71,scattered clouds
185,Avera,US,33.194,-82.5271,65.37,43,3,6.82,clear sky
186,Pietarsaari,FI,63.65,22.6833,34.0,81,99,18.39,overcast clouds
187,Laurel,US,39.0993,-76.8483,58.46,41,40,16.11,scattered clouds
188,Fort Nelson,CA,58.8053,-122.7002,34.83,55,100,11.77,overcast clouds
189,Kodiak,US,57.79,-152.4072,15.31,73,0,8.05,clear sky
190,Bandarbeyla,SO,9.4942,50.8122,74.3,61,17,21.52,few clouds
191,Tashtyp,RU,52.7939,89.8983,-19.21,100,99,1.54,overcast clouds
192,Qui Nhon,VN,13.7667,109.2333,73.11,90,34,6.15,scattered clouds
193,Hilo,US,19.7297,-155.09,64.26,80,0,8.05,clear sky
194,Luderitz,NA,-26.6481,15.1594,77.04,48,2,25.08,clear sky
195,Komsomolskiy,UZ,40.4272,71.7189,36.82,69,49,4.61,scattered clouds
196,Qaanaaq,GL,77.484,-69.3632,-21.08,56,6,7.49,clear sky
197,Grindavik,IS,63.8424,-22.4338,31.95,93,75,19.57,snow
198,Sur,OM,22.5667,59.5289,70.39,52,0,3.49,clear sky
199,Celestun,MX,20.8667,-90.4,74.32,65,0,2.89,clear sky
200,Kismayo,SO,-0.3582,42.5454,77.59,83,16,18.25,few clouds
201,Namibe,AO,-15.1961,12.1522,75.99,68,100,7.72,overcast clouds
202,Tukan,RU,53.8409,57.4552,13.21,90,100,8.84,snow
203,Puerto Ayora,EC,-0.7393,-90.3518,82.36,82,80,8.99,broken clouds
204,Saldanha,ZA,-33.0117,17.9442,75.25,75,5,12.95,clear sky
205,Ribeira Grande,PT,38.5167,-28.7,63.0,67,20,8.05,few clouds
206,Esperance,AU,-33.8667,121.9,73.24,53,64,23.4,broken clouds
207,Aykhal,RU,66.0,111.5,-8.59,88,100,4.65,overcast clouds
208,Labuhan,ID,-6.8844,112.2051,75.54,92,100,4.41,light rain
209,Codrington,AU,-38.2667,141.9667,56.68,79,4,7.72,clear sky
210,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,92,100,7.83,overcast clouds
211,Juba,SS,4.8517,31.5825,89.04,20,100,4.9,overcast clouds
212,Pangnirtung,CA,66.1451,-65.7125,-14.8,70,100,2.3,overcast clouds
213,Vestmannaeyjar,IS,63.4427,-20.2734,34.79,80,75,21.85,broken clouds
214,Guerrero Negro,MX,27.9769,-114.0611,66.07,45,0,2.59,clear sky
215,Half Moon Bay,US,37.4636,-122.4286,66.97,61,20,11.5,few clouds
216,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,7.39,85,75,6.71,broken clouds
217,Aasiaat,GL,68.7098,-52.8699,-19.68,99,100,7.36,overcast clouds
218,Cockburn Town,TC,21.4612,-71.1419,80.56,65,40,14.97,scattered clouds
219,Pemba,MZ,-12.974,40.5178,81.3,78,75,5.75,broken clouds
220,San Luis,AR,-33.295,-66.3356,91.96,17,26,5.53,scattered clouds
221,Ingleside,US,27.8778,-97.2117,64.63,71,0,8.05,clear sky
222,Upernavik,GL,72.7868,-56.1549,-8.25,93,100,4.0,overcast clouds
223,Rabo De Peixe,PT,37.8,-25.5833,63.28,78,40,14.97,scattered clouds
224,Faaborg,DK,55.0951,10.2423,41.95,83,100,14.63,overcast clouds
225,Matadi,CD,-5.8167,13.45,86.4,58,29,6.38,scattered clouds
226,Kodala,IN,19.6333,84.95,71.1,73,80,1.83,broken clouds
227,Porto Novo,BJ,6.4965,2.6036,84.2,67,1,11.18,clear sky
228,Languyan,PH,5.2618,120.0807,78.37,89,90,6.46,overcast clouds
229,Goderich,CA,43.7501,-81.7165,31.91,74,86,12.66,overcast clouds
230,Cayenne,GF,4.9333,-52.3333,81.09,81,100,3.44,overcast clouds
231,Port Blair,IN,11.6667,92.75,79.38,73,16,8.68,few clouds
232,Yulara,AU,-25.2406,130.9889,76.84,38,0,5.75,clear sky
233,Yarim,YE,14.298,44.3779,56.46,44,9,3.76,clear sky
234,Saint-Pierre,RE,-21.3393,55.4781,78.48,78,75,11.5,broken clouds
235,Poum,NC,-20.2333,164.0167,80.89,86,100,28.41,overcast clouds
236,Buala,SB,-8.145,159.5921,79.11,85,100,8.03,light rain
237,Lorengau,PG,-2.0226,147.2712,80.38,81,74,6.31,broken clouds
238,Lagoa,PT,39.05,-27.9833,58.32,73,41,9.08,scattered clouds
239,Young,UY,-32.6833,-57.6333,87.22,23,0,6.22,clear sky
240,Faya,SA,18.3851,42.4509,62.71,68,5,4.79,clear sky
241,Kudahuvadhoo,MV,2.6708,72.8944,81.46,75,66,10.87,broken clouds
242,Kawalu,ID,-7.3817,108.2082,73.45,93,100,2.15,light rain
243,Bitung,ID,1.4451,125.1824,77.85,86,72,6.58,light rain
